,NEAR BAD,NEAR GOOD,TOTAL HITS,GOOD,BAD,SO,LOG SO
excessive,76400,52400,2534200,62617300,38901700,0.426100625236608,-1.23073392643837
exciting,25000,171900,7128100,62617300,38901700,4.27179212773467,2.0948414448759
exclusive,40300,134000,8958900,62617300,38901700,2.06573208612993,1.0466531568771
exempt,5900,14500,1599500,62617300,38901700,1.5268284145333,0.610537940713023
exotic,21700,51700,3442500,62617300,38901700,1.48014769199139,0.565741137930385
expandable,600,4300,420300,62617300,38901700,4.45237205479423,2.15457415404087
expansive,1600,8400,429100,62617300,38901700,3.26162138897717,1.70558932283869
explicit,73200,42400,4056200,62617300,38901700,0.359856224024543,-1.47450748366091
exploratory,1400,4700,356600,62617300,38901700,2.08566265689696,1.06050582967996
extendable,200,1030,73245,62617300,38901700,3.19949526728236,1.67784433235579
extensive,30200,173900,9458300,62617300,38901700,3.57739488831996,1.83890937804144
exterior,11400,79100,2688800,62617300,38901700,4.3106809000517,2.10791577036798
external,57300,156000,10200800,62617300,38901700,1.69139179483234,0.758210885052636
extra,100200,435600,16269400,62617300,38901700,2.70081223655252,1.43339334558163
extraordinary,17400,58000,2815000,62617300,38901700,2.07087072316011,1.05023749422614
extreme,144100,153300,10359800,62617300,38901700,0.660925361263937,-0.59744073845604
exuberant,900,3800,157300,62617300,38901700,2.6231029160028,1.3912744120612
fabulous,11000,61900,2189800,62617300,38901700,3.49600630264392,1.80570778574953
facial,97400,105200,4582900,62617300,38901700,0.67101314191923,-0.57558707273011
factual,7700,35800,784700,62617300,38901700,2.88846124243371,1.53030113662929
faint,9100,25600,940300,62617300,38901700,1.7477238630626,0.805477259861234
fair,421300,687200,11019000,62617300,38901700,1.01336508019627,0.0191540206361393
fake,35700,66500,2844900,62617300,38901700,1.15725128647182,0.210702166419382
familiar,37800,152000,6056600,62617300,38901700,2.498193253336,1.32088508416981
famous,54900,204700,9236200,62617300,38901700,2.31643298923975,1.21190494807814
fantastic,30100,189100,4110100,62617300,38901700,3.90300651577651,1.96458587124999
fantastical,300,880,56273,62617300,38901700,1.82236623638089,0.865812923088709
fascinating,12900,44000,2030800,62617300,38901700,2.11903050741964,1.08340435816134
fast-paced,2000,17800,498822,62617300,38901700,5.52922483083748,2.46707723613897
fat,204600,334900,9918000,62617300,38901700,1.01691291083038,0.024196131021317
faulty,32500,19500,610735,62617300,38901700,0.372756730168819,-1.42369369410628
favorite,77600,329800,14069300,62617300,38901700,2.64036017202914,1.40073474131027
fearsome,1200,1900,128100,62617300,38901700,0.983663593501051,-0.0237630872176406
featureless,400,580,38300,62617300,38901700,0.900828764574646,-0.15067519969986
federal,122100,223400,13522700,62617300,38901700,1.13668923723334,0.184837885555842
feel-good,17100,733200,689900,62617300,38901700,26.6379370915963,4.73541045571392
feminist,7500,14400,639200,62617300,38901700,1.19282153654022,0.254378211006361
festive,1500,10800,571200,62617300,38901700,4.47308076202583,2.16126880661488
few,547400,1842400,41176400,62617300,38901700,2.09099683249005,1.06419087648782
fictional,3800,9000,542400,62617300,38901700,1.47140814540323,0.557197482946019
fictitious,1900,3500,276900,62617300,38901700,1.14442855753585,0.194627403561311
fiery,5100,10400,579400,62617300,38901700,1.26688561887442,0.341286276229527
fifties-style,30,100,5300,62617300,38901700,2.07087072316011,1.05023749422614
fifty-something,50,150,3900,62617300,38901700,1.8637836508441,0.898234400781086
filmy,300,330,23300,62617300,38901700,0.683387338642835,-0.549224576190135
final,134600,518200,25560800,62617300,38901700,2.39180952914168,1.25810250562971
financial,557400,490100,25252900,62617300,38901700,0.54625066814896,-0.872364955634123
fine,161500,791200,22046900,62617300,38901700,3.04360294024324,1.60578016123775
fine-dining,300,11500,675500,62617300,38901700,23.8150133163412,4.57379945028315
finnish,4500,16100,778368,62617300,38901700,2.22273457619185,1.15233568184487
firm,63200,275400,10422900,62617300,38901700,2.70720473334633,1.43680399601779
first,1292300,3446700,124580100,62617300,38901700,1.65696899826262,0.728546610120507
first-class,7200,501000,2692600,62617300,38901700,43.2294263459672,5.43394178670019
first-person,5200,17600,829300,62617300,38901700,2.10273027274719,1.07226380055614
fitting,16800,63500,2463400,62617300,38901700,2.34821948072619,1.2315672589407
five-star,1400,12500,637300,62617300,38901700,5.54697515132171,2.47170126266441
flashy,2500,12300,239200,62617300,38901700,3.05660518738432,1.61193021562445
flat,76300,235400,8538900,62617300,38901700,1.91670891834295,0.938631258263844
flat-out,8800,5400,14800,62617300,38901700,0.381228474036292,-1.3912722164139
flavored,2300,15300,528200,62617300,38901700,4.13273766056734,2.04709778669557
flawless,3200,17300,381000,62617300,38901700,3.3586934541253,1.74790012769665
flexible,17600,153100,6800800,62617300,38901700,5.40426660879225,2.43409884892242
flimsy,2900,5200,174200,62617300,38901700,1.11398563038957,0.15573062307345
flipping,3600,8200,371300,62617300,38901700,1.41509499415941,0.500898903235701
flip-top,100,720,36100,62617300,38901700,4.47308076202583,2.16126880661488
floor-mounted,20,200,20900,62617300,38901700,6.21261216948032,2.63519999494729
floppy,11900,24500,1711100,62617300,38901700,1.2790672113636,0.355092075754557
fluffy,3500,15000,385900,62617300,38901700,2.66254807263442,1.41280757361084
flush,13800,25900,1625900,62617300,38901700,1.16599025499667,0.221555730968315
fold-down,100,1400,82600,62617300,38901700,8.69765703727245,3.12062682211753
folding,4900,27600,1329000,62617300,38901700,3.49934889546238,1.80708651272289
follow-up,30700,107700,3702600,62617300,38901700,2.17947338974928,1.12397958923396
